id|nom|resume|video|cible|muscles_principaux|muscles_secondaires|execution|interet|variante|danger
/exercices/324|Développé assis à la machine convergente|Convergent Seated Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/lf8PrU9cwuk&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Assis sur la machine, les pieds sur les repose-pieds, le bas du dos légèrement cambré, il s’agit de pousser les poignées après être plus ou moins revenu en position de départ. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. À aucun moment, les épaules ne doivent se retrouver en avant des pectoraux. Développé assis à la machine convergente : muscles travaillés Suivant comment vous réglerez le siège, plus ou moins en haut des poignées, l’exercice localisera le travail différemment aux différents faisceaux du grand pectoral. Ainsi, par exemple, en réglant le siège relativement bas pour avoir les coudes complètement ouverts dans l’axe des épaules, le faisceau claviculaire sera davantage travaillé au détriment des autres faisceaux. Enfin, suivant les morphologies, l’exercice peut localiser le travail aux épaules et aux triceps au détriment des pectoraux.|L’utilisation de la machine convergente a les mêmes avantages que le développé couché avec haltères à la différence que le mouvement est ici guidé et non plus libre. Enfin, l’utilisation de la machine assise permet de forcer plus “facilement” que sur les versions allongées.|Suivant les machines, l’exercice peut se réaliser en prise neutre auquel cas, il localisera plus volontiers le travail au faisceau antérieur des épaules.|Aucun.
/exercices/319|Développé couché avec haltères|Dumbell Bench Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/2EmLMR0xZuo&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur un banc, les pieds bien calés au sol, le bas du dos légèrement cambré, un haltère dans chaque main en prise pronation, il s’agit de développer les haltères (monter les bras à la verticale) après être descendu plus ou moins bas au niveau des pectoraux. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé couché avec haltères : muscles travaillés|L’utilisation des haltères permet d’accroître l’amplitude du développé couché et est donc une excellente alternative pour ceux qui ne prennent pas de pectoraux aux exercices avec barre.|L’exercice peut se réaliser en effectuant une rotation interne en fin de mouvement afin d’accroître le raccourcissement (contraction) des pectoraux :|Attention à ne pas transformer l’exercice en un développé décliné en décollant les fesses en voulant mettre trop lourd. Outre la moindre sollicitation musculaire des pectoraux dans leur ensemble, votre bas du dos peut ne pas apprécier l’extrême cambrure que cela provoque. Voir aussi : développé couché avec haltères et exercices de musculation avec haltères pour les pectoraux sur le site musculation avec haltères
/exercices/312|Développé couché à la barre|Bench Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/VDdAq9tAHlU&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurx),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur un banc, les pieds bien calés au sol, le bas du dos légèrement cambré, les mains espacées d’une largeur supérieure à celle des épaules, il s’agit de pousser la barre après que celle-ci soit arrivée au contact de vos pectoraux. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé couché : muscles travaillés Suivant l’endroit où vous amènerez la barre sur les pectoraux, plus ou moins haut, l’exercice localisera le travail différemment aux différents faisceaux du grand pectoral. Ainsi, par exemple, en descendant la barre sur le haut des pectoraux, le faisceau claviculaire sera davantage travaillé au détriment des autres faisceaux.|Le développé couché est sans aucun doute l’exercice de musculation le plus pratiqué au monde et cela n’est pas sans raison. Sa pratique à “outrance” donne en général d’excellents résultats sur toute la partie antérieure du tronc et pas seulement sur les pectoraux. Cependant, suivant les morphologies, l’exercice peut localiser le travail aux épaules et aux triceps au détriment des pectoraux. Voir : Pectoraux et développé couché|L’exercice peut se réaliser à la Smith machine afin de sécuriser l’exercice mais qui contraint à avoir une trajectoire fixe avec ses avantages et inconvénients.|Attention à ne pas transformer l’exercice en un développé décliné en décollant les fesses et en amenant la barre sous les pectoraux. Outre la moindre sollicitation musculaire des pectoraux dans leur ensemble, votre bas du dos peut ne pas apprécier l’extrême cambrure que cela provoque. Développé couché : motivation 2009 - Rudy - 1@160 kg 2009 - Yann S. - 30@100 kg
/exercices/322|Développé couché à la machine convergente|Convergent Bench Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/1xaxYoUa12A&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur la machine, les pieds au sol, le bas du dos légèrement cambré, il s’agit de pousser les poignées après être plus ou moins descendu. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé couché à la machine convergente : muscles travaillés Suivant l’endroit où vous vous placerez, plus ou moins en avant ou en arrière des poignées, l’exercice localisera le travail différemment aux différents faisceaux du grand pectoral. Ainsi, par exemple, en ayant la tête proche des poignées, avec les coudes complètement ouverts dans l’axe des épaules, le faisceau claviculaire sera davantage travaillé au détriment des autres faisceaux. Enfin, suivant les morphologies, l’exercice peut localiser le travail aux épaules et aux triceps au détriment des pectoraux.|L’utilisation de la machine convergente a les mêmes avantages que le développé couché avec haltères à la différence que le mouvement est ici guidé et non plus libre.|Suivant les machines, l’exercice peut se réaliser en prise neutre auquel cas, il localisera plus volontiers le travail au faisceau antérieur des épaules.|Attention à ne pas transformer l’exercice en un développé décliné en décollant les fesses. Outre la moindre sollicitation musculaire des pectoraux dans leur ensemble, votre bas du dos peut ne pas apprécier l’extrême cambrure que cela provoque.
/exercices/321|Développé décliné avec haltères|Dumbell Decline Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/qr7laNZB318&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur un banc plus ou moins décliné, les pieds bien calés au sol, le bas du dos légèrement cambré, un haltère dans chaque main, il s’agit de développer les haltères (monter les bras à la verticale) après être descendu plus ou moins bas au niveau des pectoraux. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé décliné avec haltères : muscles travaillés Le développé décliné avec haltères est un exercice sollicitant majoritairement le faisceau abdominal (le bas) du grand pectoral.|L’utilisation des haltères permet d’accroître l’amplitude du développé décliné et est donc une excellente alternative pour ceux qui ne prennent pas de pectoraux aux exercices avec barre.|L’exercice peut se réaliser en effectuant une rotation interne en fin de mouvement afin d’accroître le raccourcissement (contraction) des pectoraux :|Outre le sang qui peut vous “monter” à la tête si vous restez trop longtemps la tête en bas, il n’existe aucun risque. Voir aussi : développé décliné avec haltères et exercices de musculation avec haltères pour les pectoraux sur le site musculation avec haltères
/exercices/318|Développé décliné à la barre|Decline Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/_s-oF8lKSdk&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur un banc plus ou moins décliné, les pieds bien calés au sol, le bas du dos légèrement cambré, les mains espacées d’une largeur supérieure à celle des épaules, il s’agit de pousser la barre après que celle-ci soit arrivée au contact de vos pectoraux (sur le bas). Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé décliné : muscles travaillés Le développé décliné est un exercice sollicitant majoritairement le faisceau abdominal (le bas) du grand pectoral.|Grâce à la trajectoire rectiligne qu’il impose, le développé décliné est un excellent exercice pour prendre des pectoraux lorsque l’on prend “tout” dans les épaules avec le développé couché et développé incliné|L’exercice peut se réaliser à la Smith machine afin de sécuriser l’exercice mais qui contraint à avoir une trajectoire fixe avec ses avantages et inconvénients.|Outre le sang qui peut vous “monter” à la tête si vous restez trop longtemps la tête en bas, il n’existe aucun risque.
/exercices/320|Développé incliné avec haltères|Dumbell Incline Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/AQFvfZO3Rb4&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur un banc plus ou moins incliné, les pieds bien calés au sol, le bas du dos légèrement cambré, un haltère dans chaque main, il s’agit de développer les haltères (monter les bras à la verticale) après être descendu plus ou moins bas au niveau des pectoraux. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé incliné avec haltères : muscles travaillés Le développé incliné avec haltères est un exercice sollicitant majoritairement le faisceau claviculaire des pectoraux. Néanmoins, chez certaines personnes, suivant leur morphologie, il peut davantage localiser le travail aux épaules. Notons que plus le banc sera incliné proche de la verticale, plus le faisceau antérieur travaillera, le mouvement se rapprochant d’un développé militaire|L’utilisation des haltères permet d’accroître l’amplitude du développé incliné et est donc une excellente alternative pour ceux qui ne prennent pas du haut des pectoraux avec les exercices avec barre.|L’exercice peut se réaliser en effectuant une rotation interne en fin de mouvement afin d’accroître le raccourcissement (contraction) des pectoraux :|Attention à ne pas transformer l’exercice en un développé couché en décollant les fesses. Outre la moindre sollicitation musculaire du faisceau claviculaire du grand pectoral, votre bas du dos peut ne pas apprécier l’extrême cambrure que cela provoque. Voir aussi : développé incliné avec haltères et exercices de musculation avec haltères pour les pectoraux sur le site musculation avec haltères
/exercices/317|Développé incliné à la barre|Incline Bench Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/lLa5q40zQM4&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur un banc plus ou moins incliné, les pieds bien calés au sol, le bas du dos légèrement cambré, les mains espacées d’une largeur supérieure à celle des épaules, il s’agit de pousser la barre après que celle-ci soit arrivée au contact de vos pectoraux (sur le haut). Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé incliné : muscles travaillés Le développé incliné est un exercice sollicitant majoritairement le faisceau claviculaire des pectoraux. Néanmoins, chez certaines personnes, suivant leur morphologie, il peut davantage localiser le travail aux épaules. Notons que plus le banc sera incliné proche de la verticale, plus le faisceau antérieur travaillera, le mouvement se rapprochant d’un développé militaire||L’exercice peut se réaliser à la Smith machine afin de sécuriser l’exercice mais qui contraint à avoir une trajectoire fixe avec ses avantages et inconvénients.|Attention à ne pas transformer l’exercice en un développé couché en décollant les fesses et en amenant la barre sous les pectoraux. Outre la moindre sollicitation musculaire du faisceau claviculaire du grand pectoral, votre bas du dos peut ne pas apprécier l’extrême cambrure que cela provoque.
/exercices/323|Développé incliné à la machine convergente|Convergent Incline Press : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/gqepqpGZTyc&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|Allongé sur la machine, les pieds au sol, le bas du dos légèrement cambré, il s’agit de pousser les poignées après être plus ou moins descendu. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. Vous ne devez à aucun moment vous retrouver à plat. Développé incliné à la machine convergente : Muscles travaillés Le développé incliné convergent est un exercice sollicitant majoritairement le faisceau claviculaire des pectoraux. Néanmoins, chez certaines personnes, suivant leur morphologie, il peut davantage localiser le travail aux épaules. Notons que plus le banc sera incliné proche de la verticale, plus le faisceau antérieur travaillera, le mouvement se rapprochant d’un développé militaire|L’utilisation de la machine convergente a les mêmes avantages que le développé incliné avec haltères à la différence que le mouvement est ici guidé et non plus libre.|Suivant les machines, l’exercice peut se réaliser en prise neutre auquel cas, il localisera plus volontiers le travail au faisceau antérieur des épaules.|Attention à ne pas transformer l’exercice en un développé couché en décollant les fesses. Outre la moindre sollicitation musculaire du faisceau claviculaire du grand pectoral, votre bas du dos peut ne pas apprécier l’extrême cambrure que cela provoque.
/exercices/326|Dips prise large buste penché|Dips : exercice de musculation de base pour les pectoraux.|https://www.youtube.com/v/G4c3xkFat-w&hl=fr&fs=1&rel=0|Pectoraux|pectoraux,épaules (faisceaux antérieurs),triceps|grand dorsal,grand rond,trapèzes,biceps (chef court)|En équilibre sur des barres parallèles, les mains écartées d’une largeur supérieure à celles des épaules, les bras tendus, le buste légèrement penché en avant, il s’agit d’effectuer une extension des coudes combiné à une abduction des épaules après être descendu plus ou moins bas. Il est bon de noter que comme lors de tous les exercices pour les pectoraux, votre cage thoracique doit être “sortie”. À aucun moment, les épaules ne doivent se retrouver en avant des pectoraux. Dips prise large buste penché : muscles travaillés Les dips en prise large buste penché sont un exercice s’apparentant au développé décliné dans le sens où ils mettent aussi l’accent sur le faisceau abdominal (bas) des pectoraux. C’est le fait de se pencher en avant qui permet de localiser plus le travail aux pectoraux qu’aux triceps. Malgré tout, il peut arriver, suivant les morphologies que l’exercice ne localise le travail qu’aux triceps, même si cela est rare.|Les dips en prise large buste penché sont un exercice très intéressant dans le sens où ils permettent de travailler les pectoraux avec très peu de matériel. De plus, ils permettent une amplitude lors de la phase négative assez inhabituelle, bien plus importante que tous les autres exercices pour les pectoraux.|L’exercice peut s’exécuter avec un lest (charge attachée à une corde autour de la taille) : Il est aussi possible de trouver dans certaines salles des barres en “V” (formant un “V”). L’utilisation de ses barres permet d’accroître l’ouverture des coudes dans l’axe des épaules et donc de mieux travailler les pectoraux.|L’exercice peut être assez risqué pour les épaules. C’est pourquoi vous devez adapter votre amplitude en fonction de votre souplesse. Il se peut aussi que les dips provoquent des douleurs sternales (au sternum). La solution réside alors dans la pratique des étirements (épaules et pectoraux).
